firma,adresse,plz_ort,telefon,email,bkp_codes
Josef Rohrer AG,Langacker 5,6073 Flüeli-Ranft,+41 (41) 666 27 80,info@rohrex.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten"
Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen; 221.1 Fenster aus Holz-Metall; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten"
Kayser Holzbau AG,Gerenmüli 16,6370 Oberdorf NW,+41 (41) 618 31 80,info@kayser.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Kost Holzbau AG,Alte Zugerstrasse 5,6403 Küssnacht am Rigi,+41 (41) 854 34 43,info@kost.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Küng Holzbau AG,Chilcherlistrasse 7,6055 Alpnach Dorf,+41 (41) 672 76 76,info@kueng-holz.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Tschopp Holzbau AG,An der Ron 17,6280 Hochdorf,+41 (41) 914 20 20,info@tschopp-holzbau.ch,"214.3 Holzelementbau; 214.4 Äussere Bekleidungen, Gesimse, Treppen"
Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
Eleconstruct & Partner AG,Eichli 19,6370 Stans,+41 (41) 260 06 55,info@eleconstruct.ch,215.5 Äussere Bekleidungen
Fassaden Outfit AG,Falkenweg 9,6340 Baar,+41 (41) 541 49 48,info@fassaden-outfit.ch,215.5 Äussere Bekleidungen; 225.2 Spezielle Dämmungen
Josef Wey AG,Buzibachstrasse 40,6023 Rothenburg,+41 (41) 552 05 80,info@wey-ag.ch,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
Näpflin Gebäudehülle AG,Rüttistrasse 67,6467 Schattdorf,+41 (41) 874 74 84,info@nag.swiss,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
Odermatt Bedachungen und Spenglerei AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,info@amstutz-odermatt.ch,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch,215.5 Äussere Bekleidungen; 222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
4B AG,An der Ron 7,6280 Hochdorf,+41 (41) 914 50 50,info@4-b.ch,221.1 Fenster aus Holz-Metall
BS Fenster + Türenbau AG,Rigistrasse 11,6210 Sursee,+41 (41) 925 11 50,info@bs-fensterbau.ch,221.1 Fenster aus Holz-Metall; 273.0 Innentüren
Fenster Bünter AG,Brisenstrasse 1,6382 Büren NW,+41 (41) 619 70 80,info@fensterbuenter.ch,221.1 Fenster aus Holz-Metall
G. Baumgartner AG,Flurstrasse 41,6332 Hagendorn,+41 (41) 785 85 85,info@baumgartnerfenster.ch,221.1 Fenster aus Holz-Metall
Gawo Gasser AG,Entlebucherstrasse 46,6110 Wolhusen,+41 (41) 492 60 90,info@gawo.ch,221.1 Fenster aus Holz-Metall
Imfeld Metall- und Stahlbau AG,Chnewisstrasse 10,6078 Lungern,+41 (41) 678 10 05,imfeld@imfeld-stahlbau.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Iromet AG,Industriestrasse 2,6055 Alpnach Dorf,+41 (41) 672 70 20,offerten@iromet.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Keller Werner Metallbau AG,Bahnhofstrasse 5a,6052 Hergiswil,+41 (41) 632 62 32,mail@kellermetall.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Schlosserei Andreas Rohrer AG,Galileo-Strasse 6,6056 Kägiswil,+41 (41) 497 00 71,info@schlosserei-rohrer.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Waldvogel Schlossrei GmbH,Arlistrasse 5,6064 Kerns,+41 (41) 660 57 49,schlosserei_gmbh@bluewin.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Wolfisberg Metallbau AG,Pilatusstrasse 4,6060 Sarnen,+41 (41) 660 12 19,info@wolfisberg-metallbau.ch,"221.6 Aussentüren, Tore aus Metall; 272.2 Allgemeine Metallbauarbeiten"
Bautech AG,Alte Zugerstrasse 14,6403 Küssnacht am Rigi,+41 (41) 854 77 44,info@bautech.ch,221.9 Garagentore
Ema-Tech Nottwil AG,Kantonsstrasse 20,6207 Nottwil,+41 (41) 939 20 40,info@ema-tech.ch,221.9 Garagentore
Sidler Epp Torbau AG,Hohenrainstrasse 52,6280 Hochdorf,+41 (41) 910 00 62,info@sidler-epp.ch,221.9 Garagentore
Sisto GmbH,Eichli 25,6370 Stans,+41 (41) 620 86 52,sisto@sisto.swiss,221.9 Garagentore
Wolfisberg Tor-Technik AG,Kreuzstrasse 46,6056 Kägiswil,+41 (41) 666 03 70,info@wolfisberg.com,221.9 Garagentore
Bedachungen Rohrer GmbH,Hänsigrüt 5,6072 Sachseln,+41 (41) 660 70 40,info@rohrer-dach.ch,222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
Bucher Dach AG,Sandbachstrasse 13,6064 Kerns,+41 (41) 740 19 91,info@bucherdach.ch,222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
Durrer AG Abdichtungsbau,Industriestrasse 25,6055 Alpnach Dorf,+41 0848 000 666,info@durrer-abdichtungen.ch,222 Spenglerarbeiten; 224.1 Dichtungsbeläge Flachdächer
Mathis Flachdach AG,Steinhausstrasse 4,6056 Kägiswil,+41 (41) 666 50 50,hallo@mathis-flachdach.ch,222 Spenglerarbeiten; 224.1 Dichtungsbeläge Flachdächer; 239 Photovoltaik- und Solaranlagen
Paul Gisler AG,Alte Steinhauserstrasse 32,6330 Cham,+41 (41) 748 50 30,info@paulgislerag.ch,222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
Soland Spenglerei GmbH,Bürglenstrasse 64,6078 Bürglen OW,+41 (41) 678 22 02,soland.spenglerei@bluewin.ch,222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
B + W Bedachungen GmbH,Schwanderstrasse 28,6063 Sarnen,+41 (41) 660 94 05,ak@wb-dach.ch,222 Spenglerarbeiten; 224.0 Deckungen geneigte Dächer; 224.1 Dichtungsbeläge Flachdächer
Wallimann AG,Büntenmatt 17,6060 Sarnen,+41 (41) 660 31 16,wallimann@bluewin.ch,222 Spenglerarbeiten; 224.1 Dichtungsbeläge Flachdächer
AGI AG für Isolierugen,Langwiesenstrasse 6,8108 Dällikon,+41 (44) 316 63 63,zh@agi.swiss,225.1 Fugendichtungen
DD-T Dicht & Dämm Technik GmbH,Industriestrasse 59,6034 Inwil,+41 (41) 360 02 00,info@dd-t.ch,225.1 Fugendichtungen; 225.4 Brandschutzbekleidungen und dgl.
Enz & Muff GmbH,Dörflistrasse 32b,6056 Kägiswil,+41 (41) 660 69 35,enzmuff@bluewin.ch,225.1 Fugendichtungen
Fugenexpress Kluser GmbH,Industriestrasse 11,6074 Giswil,+41 (41) 660 88 60,info@kitter.ch,225.1 Fugendichtungen
L.Fugenbau GmbH,Buzibachstrasse 12,6023 Rothenburg,+41 (41) 440 68 14,info@lfugenbau.ch,225.1 Fugendichtungen
Ulmi AG,Schrotmättli 16,6014 Luzern,+41 (41) 250 12 21,info@ulmiluzern.ch,225.1 Fugendichtungen
Akon AG,Ausserfeld 1,6362 Stansstad,+41 (41) 632 33 99,sekretariat@akon-ag.ch,225.2 Spezielle Dämmungen
Dominik von Flüe,Rüteli 8,6072 Sachseln,+41 (41) 660 99 85,pfuisi@bluewin.ch,225.2 Spezielle Dämmungen; 271 Gipserarbeiten
Durrer Sägerei und Trockenbau GmbH,Sagenmatt 2,6066 St. Niklausen OW,+41 (41) 660 54 33,dst@durrer-gmbh.ch,225.2 Spezielle Dämmungen; 271 Gipserarbeiten; 281.7 Bodenbeläge aus Holz
Filliger & Partner AG,Gruobstrasse 52,6372 Ennetmoos,+41 (41) 611 00 15,info@filliger-partner.ch,225.2 Spezielle Dämmungen; 271 Gipserarbeiten
Mabeco AG,Industriestrasse 1,6055 Alpnach Dorf,,,225.2 Spezielle Dämmungen; 271 Gipserarbeiten
MVM AG,Kirchfeldstrasse 44,6032 Emmen,+41 (41) 289 04 04,mail@mvm-ag.ch,225.2 Spezielle Dämmungen; 271 Gipserarbeiten
Odermatt Fassadenbau AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,fassaden@gebrueder-odermatt.ch,225.2 Spezielle Dämmungen
Roman Colledani der Gestalter GmbH,Tellenstrasse 23,6056 Kägiswil,,,225.2 Spezielle Dämmungen; 271 Gipserarbeiten
Roth AG Malters,Werkstrasse 1,6102 Malters,+41 (41) 498 07 20,malters@roth.ch,225.2 Spezielle Dämmungen; 225.4 Brandschutzbekleidungen und dgl.
Slanzi Malen Gipsen AG,Mühlemattli 10,6074 Giswil,+41 (41) 675 10 60,info@slanzi.ch,225.2 Spezielle Dämmungen; 227.1 Äussere Malerarbeiten; 271 Gipserarbeiten; 285.1 Innere Malerarbeiten
Bollhalder Systemabdichtungen AG,Breitenweg 10,6370 Stans,+41 (41) 555 12 60,info@systemabdichtungen.ch,225.3 Spezielle Feuchtigkeitsabdichtungen
Ferotekt AG,Ronmatte 8,6033 Buchrain,+41 (41) 289 15 15,info@ferotekt.ch,225.3 Spezielle Feuchtigkeitsabdichtungen
Isotech Zentralschweiz AG,Eichli 25,6370 Stans,+41 (41) 340 54 55,info@isotech-zentralschweiz.ch,225.3 Spezielle Feuchtigkeitsabdichtungen; 225.4 Brandschutzbekleidungen und dgl.
Kittech AG,Postfach 253,6074 Giswil,+41 (41) 676 70 60,info@kittech.ch,225.3 Spezielle Feuchtigkeitsabdichtungen
Stocker & Partner AG,Postplatz 5,6274 Eschenbach LU,+41 (41) 448 20 60,info@stopag.ch,225.3 Spezielle Feuchtigkeitsabdichtungen
Vistona AG,Wyssmattstrasse 2,6010 Kriens,+41 (41) 311 00 62,e.birkigt@vistona.com,225.3 Spezielle Feuchtigkeitsabdichtungen
AGI AG für Isolierungen,Acherfang 24,6274 Eschenbach LU,+41 (41) 449 90 30,lu@agi.swiss,225.4 Brandschutzbekleidungen und dgl.
Halter & Colledani AG,Kägiswilerstrasse 47,6060 Sarnen,+41 (41) 670 30 20,info@halter-colledani.ch,225.4 Brandschutzbekleidungen und dgl.
Infrasafe AG,Grossmatte 11,6014 Luzern,+41 (41) 250 60 50,info@infrasafe.ch,225.4 Brandschutzbekleidungen und dgl.
L. Fugenbau GmbH,Buzibachstrasse 12,6023 Rothenburg,+41 (41) 440 68 14,info@lfugenbau.ch,225.4 Brandschutzbekleidungen und dgl.
Capraro Malerei-Decor AG,Pilatusstrasse 10,6060 Sarnen,+41 (41) 377 00 44,info@capraro.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Maler Durrer GmbH,Postplatz 4,6064 Kerns,+41 (41) 660 30 41,info@malerdurrer.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Maler Grimm AG,Werkhofstrasse 8,6052 Hergiswil NW,+41 (41) 630 21 51,info@maler-grimm.ch,227.1 Äussere Malerarbeiten
Maler Hinter AG,Brünigstrasse 126a,6072 Sachseln,+41 (41) 660 28 33,kontakt@malerhinter.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
MVM AG Stans,Hansmatt 30,6370 Stans,+41 (41) 610 00 42,mail@mvm-ag.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Schwarzenberger GmbH,Baumgartenstrasse 7,6055 Alpnach Dorf,+41 (41) 660 67 01,urs@schwarzenberger-gmbh.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Theo Fischer & Partner AG,Kreuzstrasse 20,6056 Kägiswil,,,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Walter Zünd AG,Kapuzinerweg 8,6060 Sarnen,+41 (41) 660 07 70,info@zuendmalerei.ch,227.1 Äussere Malerarbeiten; 285.1 Innere Malerarbeiten
Birrer-Storen AG,Hinter-Listrig 4,6020 Emmenbrücke,+41 (41) 282 04 04,info@birrer-storen.ch,228.3 Markisen
Griesser AG,Grossmatte 12,6014 Luzern,+41 (58) 822 40 02,info@griesser.ch,228.3 Markisen
Näf AG,Werkhofstrasse 10,6052 Hergiswil NW,+41 (41) 630 34 22,storen@naef.swiss,228.3 Markisen
Schenker Storen AG,Allmendstrasse 6,6210 Sursee,+41 (41) 926 60 80,schenker.sursee@storen.ch,228.3 Markisen
Stobag AG,Postfach 373,5630 Muri AG,+41 (56) 675 42 00,info@stobag.ch,228.3 Markisen
Durrer Jost Energie GmbH,Flüelistrasse 26,6064 Kerns,+41 (41) 660 86 66,info@durrerenergie.ch,230 Elektroanlagen; 242 Heizungsanlagen; 250 Sanitäranlagen
Elektro Ettlin AG,Sagenstrasse 1,6064 Kerns,+41 (41) 660 51 66,elektro.ettlinag@bluewin.ch,230 Elektroanlagen
Elektro Furrer AG,Edisriederstrasse 83,6072 Sachseln,+41 (41) 662 00 70,info@elektrofurrer.ch,230 Elektroanlagen
Elektro Huwyler AG,Kanalstrasse 10,6056 Kägiswil,+41 (41) 666 30 70,info@elektro-huwyler.ch,230 Elektroanlagen
Elektro Kaiser AG Maréchaux,Dorfstrasse 10,6072 Sachseln,+41 (41) 666 56 66,info@elektro-kaiser.ch,230 Elektroanlagen
Enertech AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 666 29 99,info@enertech.ch,230 Elektroanlagen; 239 Photovoltaik- und Solaranlagen; 242 Heizungsanlagen; 244 Lufttechnische Anlagen
Ettlin AG,Brünigstrasse 12,6055 Alpnach Dorf,+41 (41) 672 72 72,info@elektro-ettlin.ch,230 Elektroanlagen
EWO Gebäudetechnik AG,Stanserstrasse 8,6064 Kerns,+41 (41) 672 77 00,info@ewo-gbt.ch,230 Elektroanlagen; 239 Photovoltaik- und Solaranlagen
Frey+Cie Elektro AG Stans,Oberstmühle 1,6370 Stans,+41 (41) 622 00 20,info@freycie-stans.ch,230 Elektroanlagen
Gasser Elektro AG,Industriestrasse 6,6055 Alpnach Dorf,+41 (41) 670 19 52,info@gasserag-elektro.ch,230 Elektroanlagen
Gebr. Kiser Elektro,Brünigstrasse 166,6060 Sarnen,+41 (41) 660 26 56,info@kiser-elektro.ch,230 Elektroanlagen
CKW Security Stansstad,Rotzbergstrasse 15,6362 Stansstad,+41 (41) 618 08 08,security@ckw.ch,235.8 Sicherheitsanlagen
Frey + Cie Sicherheitstechnik AG,Stationsstrasse 89,6023 Rothenburg,+41 (41) 329 06 06,info@freysicherheit.ch,235.8 Sicherheitsanlagen
Securiton AG,Station-Ost 7,6023 Rothenburg,+41 (58) 910 62 10,luzern@securiton.ch,235.8 Sicherheitsanlagen
Siemens Schweiz AG,Platz 3,6039 Root D4,+41 (58) 557 65 79,,235.8 Sicherheitsanlagen
Telcom Cablenet AG,Buzibachstrasse 31A,6023 Rothenburg,+41 (41) 618 20 10,info@telcomcablenet.ch,235.8 Sicherheitsanlagen
E. Lutz AG Gebäudehülle,Rothering 9a,6015 Luzern,+41 (41) 260 77 77,info@elutzag.ch,239 Photovoltaik- und Solaranlagen
Weibel+Sommer Elektro Telecom AG,Stationsstrasse 89,6023 Rothenburg,+41 (41) 289 10 00,elektro@weibel-sommer.ch,239 Photovoltaik- und Solaranlagen
E3 HLK AG,Horwerstrasse 62,6010 Kriens,+41 (41) 329 20 40,luzern@e3-hlk.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen
Equans Services AG,Industriestrasse 20,6060 Sarnen,+41 (41) 662 00 30,sarnen.ch@equans.com,242 Heizungsanlagen; 244 Lufttechnische Anlagen
Gasser Heizung-Sanitär AG,Muotastrasse 24,6438 Ibach,+41 (41) 818 50 80,info@gasser-haustechnik.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen; 250 Sanitäranlagen
Gut AG Gebäudetechnik,Grossmatte Ost 16,6014 Luzern,+41 (41) 818 09 90,,242 Heizungsanlagen; 244 Lufttechnische Anlagen; 250 Sanitäranlagen
Langensand AG,Schulhausstrasse 9,6055 Alpnach Dorf,+41 (41) 670 16 60,info@langensand-ag.ch,242 Heizungsanlagen; 250 Sanitäranlagen
Niedermann HLK AG,Fronhofenstrasse 10,6370 Stans,+41 (41) 618 30 80,info@niedermann-hlk.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen
Pilatus-Therm AG,Brünigstrasse 2,6055 Alpnach Dorf,+41 (41) 670 11 24,info@pilatus-therm.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen; 250 Sanitäranlagen
Reinhard Haustechnik AG,Gartenstrasse 23,6060 Sarnen,+41 (41) 660 12 82,info@reinhard-ht.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen; 250 Sanitäranlagen
Stalder & Birrer AG,Bürgenstockstrasse 8,6362 Stansstad,+41 (41) 610 41 55,info@stalder-birrer.ch,242 Heizungsanlagen; 244 Lufttechnische Anlagen
Bruni Haustechnik AG,Centralstrasse 8B,6210 Sursee,+41 (41) 220 22 00,info@bruni-haustechnik.ch,244 Lufttechnische Anlagen
Clima-Nova AG,Sinserstrasse 116,6330 Cham,+41 (41) 785 25 85,info@climanova.ch,244 Lufttechnische Anlagen
Flüma Klima AG,Postfach 1155,6031 Ebikon,+41 (41) 445 68 28,info@fluema.ch,244 Lufttechnische Anlagen
Frial GmbH,Ächerlistrasse 18,6064 Kerns,+41 (41) 660 85 37,manfreda@gmx.ch,244 Lufttechnische Anlagen
Aqwa Sanitär AG,Kägiswilerstrasse 29,6060 Sarnen,+41 (41) 618 90 00,info@aqwa.ch,250 Sanitäranlagen
Krummenacher Sanitär AG,Steinhauserstrasse 4,6056 Kägiswil,+41 (41) 660 53 53,info@krummenacher-sanitaer.ch,250 Sanitäranlagen
Nur noch Sanitäranlagen Odermatt Kerns AG,Erlenstrasse 16,6064 Kerns,+41 (41) 660 48 55,info@odermatt-kerns.ch,250 Sanitäranlagen
Alpnach Küchen AG,Seetalstrasse 190,6032 Emmen,+41 (41) 455 52 52,emmen@alpnachkuechen.ch,258 Kücheneinrichtungen
Astor Küchen AG,Luzernerstrasse 3,6030 Ebikon,+41 (41) 420 22 23,info@astor-kuechen.ch,258 Kücheneinrichtungen
Berchtold Küchen,Stansstaderstrasse 54,6371 Stans,+41 (41) 610 32 50,info@berchtold-kuechen.ch,258 Kücheneinrichtungen
Sanitas Troesch AG,Unterlachenstrasse 32,6005 Luzern,+41 (41) 317 20 30,luzern@sanitastroesch.ch,258 Kücheneinrichtungen
J. Reinhart Söhne AG,Flüelistrasse 61,6064 Kerns,+41 (41) 660 11 20,box@jrs-design.ch,258 Kücheneinrichtungen; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Möbel Ettlin Innendekorations AG,Erlenstrasse 5,6064 Kerns,+41 (41) 660 38 46,info@moebel-ettlin.ch,258 Kücheneinrichtungen
Rinderknecht AG,Obere Spichermatt 12,6371 Stans,+41 (41) 624 94 94,info@rinderknecht-ag.ch,258 Kücheneinrichtungen
Röösli Küchenbau,Birkenweg 6,6064 Kerns,+41 (41) 660 84 58,info@kuechenbau-roeoesli.ch,258 Kücheneinrichtungen; 273.0 Innentüren
Schreinerei Röthlin AG,Haltenstrasse 24,6064 Kerns,+41 (41) 662 90 50,info@schreinerei-roethlin.ch,258 Kücheneinrichtungen; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Schreinerei Roy Jakober GmbH,Feldstrasse 1,6060 Sarnen,+41 (41) 660 19 58,ideen@royjakober.ch,258 Kücheneinrichtungen
TG Gasser AG,Gorgenstrasse 3,6074 Giswil,+41 (41) 676 75 75,info@tg-gasser.ch,258 Kücheneinrichtungen; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
Titlis Küchen,Museumstrasse 6,6060 Sarnen,+41 (41) 660 13 26,info@titlis-kuechen.ch,258 Kücheneinrichtungen
Walter Spichtig AG,Itiweg 3,6072 Sachseln,+41 (41) 662 00 02,info@spichtig-schreinerei.ch,258 Kücheneinrichtungen; 273.0 Innentüren; 273.3 Allgemeine Schreinerarbeiten
AS Aufzüge AG,Erlistrasse 3,6403 Küssnacht am Rigi,+41 (41) 445 27 27,as-kus@lift.ch,261 Aufzüge
KONE (Schweiz) AG,Ruchstuckstrasse 21,8306 Brüttisellen,+41 (44) 838 38 38,switzerland@kone.com,261 Aufzüge
Lift AG,Postfach 2255,8105 Regensdorf,+41 (44) 871 91 91,info@liftag.ch,261 Aufzüge
OTIS AG Niederlassung Luzern,Postfach 2246,6010 Kriens,+41 (41) 329 68 40,lu.ch@otis.com,261 Aufzüge
Schindler Aufzüge AG,Zugerstrasse 13,6030 Ebikon,+41 (41) 369 82 82,luzern.ch@schindler.com,261 Aufzüge
Rossi Aregger AG,Oberneuhofstrasse 6,6340 Baar,+41 (41) 451 05 75,info@rossi-aregger.ch,271 Gipserarbeiten
