bkp_code,bkp_bezeichnung,unt_id,firma,adresse,plz_ort,telefon,email
201,Baugrubenaushub,25022,Grunder Tiefbau GmbH,Flüelistrasse 59b,6064 Kerns,,
201,Baugrubenaushub,17749,Höhener Tiefbau AG,Industrie Nord 21,5643 Sins,+41 (41) 787 17 87,info@hoehenertiefbau.ch
201,Baugrubenaushub,25023,Josef Berwert AG,Wilerstrasse 44,6062 Wilen (Sarnen),+41 (41) 660 27 35,info@berwertbau.ch
201,Baugrubenaushub,17649,KIBAG Bauleistungen AG,Sihlbruggstrasse 20,6345 Neuheim,+41 (58) 387 21 80,info.kzi@kibag.ch
201,Baugrubenaushub,18382,Lötscher Tiefbau AG,Spahau 3,6014 Luzern,+41 (41) 259 07 07,loetscher-plus@ltp.ch
201,Baugrubenaushub,25024,Markus Enz AG,Schlossmattli 10,6074 Giswil,+41 (41) 879 80 00,info@enz-ag.ch
201,Baugrubenaushub,25025,Melk Durrer AG,Kanalstrasse 20,6056 Kägiswil,+41 (41) 660 56 58,mario.durrer@melkdurrer.ch
201,Baugrubenaushub,19963,Peter Schmid Baudienstleistungen AG,Lindenmoosstrasse 9,8910 Affoltern am Albis,+41 (43) 333 44 77,dispo@bau-dienstleistungen.ch
201,Baugrubenaushub,20088,PK Bau AG,Hirserenriedstrasse 38,6074 Giswil,+41 (41) 675 18 18,mail@pkbau.ch
201,Baugrubenaushub,21328,Schleiss AG,Alpenstrasse 1,6370 Stans,+41 (41) 610 35 50,info@schleiss.ch
201,Baugrubenaushub,21361,Schmid Bauunternehmung AG,Neuhaltenring 1,6030 Ebikon,+41 (41) 444 40 33,bau@schmid.lu
201,Baugrubenaushub,25026,Stephan Thalmann AG,Dörli 9,6060 Ramersberg,+41 (41) 660 43 68,mail@thalmann-bau.ch
201,Baugrubenaushub,25027,von Deschwanden Bau GmbH,Stanserstrasse 101,6064 Kerns,+41 (41) 660 29 48,vondeschwandenbau@bluewin.ch
201,Baugrubenaushub,25097,Zimmermann Tiefbau AG,Faden 3,6374 Buochs,+41 (41) 624 91 96,tiefbau@zimgroup.ch
211,Baumeisterarbeiten,10745,Anliker Bauunternehmung AG,Meierhöflistrasse 18,6021 Emmenbrücke 1,+41 (41) 268 88 88,bauunternehmung@anliker.ch
211,Baumeisterarbeiten,11305,M+B Bau AG Schweiz,Gorgenstrasse 2,6074 Giswil,+41 (41) 666 30 00,info@mb-bauag.ch
211,Baumeisterarbeiten,12395,Bürgi AG,Grüneckweg 3,6055 Alpnach Dorf,+41 (41) 672 71 11,info@buergibau.ch
211,Baumeisterarbeiten,13759,Eberli Bau AG,Feldstrasse 2,6060 Sarnen 2,+41 (41) 666 38 48,info@eberli-ag.ch
211,Baumeisterarbeiten,15147,Gasser Felstechnik AG,Walchistrasse 30,6078 Lungern,+41 (41) 679 77 77,gasser@felstechnik.ch
211,Baumeisterarbeiten,25023,Josef Berwert AG,Wilerstrasse 44,6062 Wilen (Sarnen),+41 (41) 660 27 35,info@berwertbau.ch
211,Baumeisterarbeiten,25025,Melk Durrer AG,Kanalstrasse 20,6056 Kägiswil,+41 (41) 660 56 58,mario.durrer@melkdurrer.ch
211,Baumeisterarbeiten,20147,Poli Bau AG,Hasliweg 1,6052 Hergiswil,+41 (41) 632 40 20,info@polibau.ch
211,Baumeisterarbeiten,21361,Schmid Bauunternehmung AG,Neuhaltenring 1,6030 Ebikon,+41 (41) 444 40 33,bau@schmid.lu
214.3,Holzelementbau,15222,Amstutz Holzbau AG,Galgenried 14,6370 Stans,+41 (41) 619 40 40,info@holzbau-amstutz.ch
214.3,Holzelementbau,16168,Haupt AG,Rosswöschstrasse 28,6017 Ruswil,+41 (41) 496 77 77,info@haupt-ag.ch
214.3,Holzelementbau,25474,Hecht Holzbau AG,Rigistrasse 11a,6210 Sursee,+41 (41) 925 18 40,info@hecht-holzbau.ch
214.3,Holzelementbau,16487,Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch
214.3,Holzelementbau,16493,Holzbautechnik Burch AG,Brünigstrasse 88,6060 Sarnen,+41 (41) 666 76 86,burch@holzbautechnik.ch
214.3,Holzelementbau,25053,Josef Rohrer AG,Langacker 5,6073 Flüeli-Ranft,+41 (41) 666 27 80,info@rohrex.ch
214.3,Holzelementbau,25054,Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch
214.3,Holzelementbau,25473,Kayser Holzbau AG,Gerenmüli 16,6370 Oberdorf NW,+41 (41) 618 31 80,info@kayser.ch
214.3,Holzelementbau,17845,Kost Holzbau AG,Alte Zugerstrasse 5,6403 Küssnacht am Rigi,+41 (41) 854 34 43,info@kost.ch
214.3,Holzelementbau,17944,Küng Holzbau AG,Chilcherlistrasse 7,6055 Alpnach Dorf,+41 (41) 672 76 76,info@kueng-holz.ch
214.3,Holzelementbau,23012,Tschopp Holzbau AG,An der Ron 17,6280 Hochdorf,+41 (41) 914 20 20,info@tschopp-holzbau.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",15222,Amstutz Holzbau AG,Galgenried 14,6370 Stans,+41 (41) 619 40 40,info@holzbau-amstutz.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",16168,Haupt AG,Rosswöschstrasse 28,6017 Ruswil,+41 (41) 496 77 77,info@haupt-ag.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",25474,Hecht Holzbau AG,Rigistrasse 11a,6210 Sursee,+41 (41) 925 18 40,info@hecht-holzbau.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",16487,Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",16493,Holzbautechnik Burch AG,Brünigstrasse 88,6060 Sarnen,+41 (41) 666 76 86,burch@holzbautechnik.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",25053,Josef Rohrer AG,Langacker 5,6073 Flüeli-Ranft,+41 (41) 666 27 80,info@rohrex.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",25054,Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",25473,Kayser Holzbau AG,Gerenmüli 16,6370 Oberdorf NW,+41 (41) 618 31 80,info@kayser.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",17845,Kost Holzbau AG,Alte Zugerstrasse 5,6403 Küssnacht am Rigi,+41 (41) 854 34 43,info@kost.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",17944,Küng Holzbau AG,Chilcherlistrasse 7,6055 Alpnach Dorf,+41 (41) 672 76 76,info@kueng-holz.ch
214.4,"Äussere Bekleidungen, Gesimse, Treppen",23012,Tschopp Holzbau AG,An der Ron 17,6280 Hochdorf,+41 (41) 914 20 20,info@tschopp-holzbau.ch
215.5,Äussere Bekleidungen,25152,Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch
215.5,Äussere Bekleidungen,25184,Eleconstruct & Partner AG,Eichli 19,6370 Stans,+41 (41) 260 06 55,info@eleconstruct.ch
215.5,Äussere Bekleidungen,24901,Fassaden Outfit AG,Falkenweg 9,6340 Baar,+41 (41) 541 49 48,info@fassaden-outfit.ch
215.5,Äussere Bekleidungen,17338,Josef Wey AG,Buzibachstrasse 40,6023 Rothenburg,+41 (41) 552 05 80,info@wey-ag.ch
215.5,Äussere Bekleidungen,25185,Näpflin Gebäudehülle AG,Rüttistrasse 67,6467 Schattdorf,+41 (41) 874 74 84,info@nag.swiss
215.5,Äussere Bekleidungen,19597,Odermatt Bedachungen und Spenglerei AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,info@amstutz-odermatt.ch
215.5,Äussere Bekleidungen,21361,Schmid Bauunternehmung AG,Neuhaltenring 1,6030 Ebikon,+41 (41) 444 40 33,bau@schmid.lu
215.5,Äussere Bekleidungen,25156,Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch
215.5,Äussere Bekleidungen,25154,Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch
221.1,Fenster aus Holz-Metall,10025,4B AG,An der Ron 7,6280 Hochdorf,+41 (41) 914 50 50,info@4-b.ch
221.1,Fenster aus Holz-Metall,12282,BS Fenster + Türenbau AG,Rigistrasse 11,6210 Sursee,+41 (41) 925 11 50,info@bs-fensterbau.ch
221.1,Fenster aus Holz-Metall,14545,Fenster Bünter AG,Brisenstrasse 1,6382 Büren NW,+41 (41) 619 70 80,info@fensterbuenter.ch
221.1,Fenster aus Holz-Metall,15012,G. Baumgartner AG,Flurstrasse 41,6332 Hagendorn,+41 (41) 785 85 85,info@baumgartnerfenster.ch
221.1,Fenster aus Holz-Metall,15197,Gawo Gasser AG,Entlebucherstrasse 46,6110 Wolhusen,+41 (41) 492 60 90,info@gawo.ch
221.1,Fenster aus Holz-Metall,16487,Holzbau Bucher AG,Untergasse 11,6064 Kerns,+41 (41) 666 07 07,info@holzbau-bucher.ch
221.1,Fenster aus Holz-Metall,25054,Karl Rohrer AG,Wichelstrasse 1,6072 Sachseln,+41 (41) 660 30 44,info@karo-holz.ch
221.6,"Aussentüren, Tore aus Metall",16797,Imfeld Metall- und Stahlbau AG,Chnewisstrasse 10,6078 Lungern,+41 (41) 678 10 05,imfeld@imfeld-stahlbau.ch
221.6,"Aussentüren, Tore aus Metall",17056,Iromet AG,Industriestrasse 2,6055 Alpnach Dorf,+41 (41) 672 70 20,offerten@iromet.ch
221.6,"Aussentüren, Tore aus Metall",17607,Keller Werner Metallbau AG,Bahnhofstrasse 5a,6052 Hergiswil,+41 (41) 632 62 32,mail@kellermetall.ch
221.6,"Aussentüren, Tore aus Metall",21336,Schlosserei Andreas Rohrer AG,Galileo-Strasse 6,6056 Kägiswil,+41 (41) 497 00 71,info@schlosserei-rohrer.ch
221.6,"Aussentüren, Tore aus Metall",25180,Waldvogel Schlossrei GmbH,Arlistrasse 5,6064 Kerns,+41 (41) 660 57 49,schlosserei_gmbh@bluewin.ch
221.6,"Aussentüren, Tore aus Metall",23969,Wolfisberg Metallbau AG,Pilatusstrasse 4,6060 Sarnen,+41 (41) 660 12 19,info@wolfisberg-metallbau.ch
221.9,Garagentore,11575,Bautech AG,Alte Zugerstrasse 14,6403 Küssnacht am Rigi,+41 (41) 854 77 44,info@bautech.ch
221.9,Garagentore,14098,Ema-Tech Nottwil AG,Kantonsstrasse 20,6207 Nottwil,+41 (41) 939 20 40,info@ema-tech.ch
221.9,Garagentore,21747,Sidler Epp Torbau AG,Hohenrainstrasse 52,6280 Hochdorf,+41 (41) 910 00 62,info@sidler-epp.ch
221.9,Garagentore,25168,Sisto GmbH,Eichli 25,6370 Stans,+41 (41) 620 86 52,sisto@sisto.swiss
221.9,Garagentore,23970,Wolfisberg Tor-Technik AG,Kreuzstrasse 46,6056 Kägiswil,+41 (41) 666 03 70,info@wolfisberg.com
222,Spenglerarbeiten,25151,Bedachungen Rohrer GmbH,Hänsigrüt 5,6072 Sachseln,+41 (41) 660 70 40,info@rohrer-dach.ch
222,Spenglerarbeiten,12324,Bucher Dach AG,Sandbachstrasse 13,6064 Kerns,+41 (41) 740 19 91,info@bucherdach.ch
222,Spenglerarbeiten,25152,Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch
222,Spenglerarbeiten,13692,Durrer AG Abdichtungsbau,Industriestrasse 25,6055 Alpnach Dorf,+41 0848 000 666,info@durrer-abdichtungen.ch
222,Spenglerarbeiten,17338,Josef Wey AG,Buzibachstrasse 40,6023 Rothenburg,+41 (41) 552 05 80,info@wey-ag.ch
222,Spenglerarbeiten,18747,Mathis Flachdach AG,Steinhausstrasse 4,6056 Kägiswil,+41 (41) 666 50 50,hallo@mathis-flachdach.ch
222,Spenglerarbeiten,25185,Näpflin Gebäudehülle AG,Rüttistrasse 67,6467 Schattdorf,+41 (41) 874 74 84,info@nag.swiss
222,Spenglerarbeiten,19597,Odermatt Bedachungen und Spenglerei AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,info@amstutz-odermatt.ch
222,Spenglerarbeiten,19837,Paul Gisler AG,Alte Steinhauserstrasse 32,6330 Cham,+41 (41) 748 50 30,info@paulgislerag.ch
222,Spenglerarbeiten,25156,Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch
222,Spenglerarbeiten,25153,Soland Spenglerei GmbH,Bürglenstrasse 64,6078 Bürglen OW,+41 (41) 678 22 02,soland.spenglerei@bluewin.ch
222,Spenglerarbeiten,25154,Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch
222,Spenglerarbeiten,25155,B + W Bedachungen GmbH,Schwanderstrasse 28,6063 Sarnen,+41 (41) 660 94 05,ak@wb-dach.ch
222,Spenglerarbeiten,23562,Wallimann AG,Büntenmatt 17,6060 Sarnen,+41 (41) 660 31 16,wallimann@bluewin.ch
224.0,Deckungen geneigte Dächer,25151,Bedachungen Rohrer GmbH,Hänsigrüt 5,6072 Sachseln,+41 (41) 660 70 40,info@rohrer-dach.ch
224.0,Deckungen geneigte Dächer,12324,Bucher Dach AG,Sandbachstrasse 13,6064 Kerns,+41 (41) 740 19 91,info@bucherdach.ch
224.0,Deckungen geneigte Dächer,25152,Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch
224.0,Deckungen geneigte Dächer,17338,Josef Wey AG,Buzibachstrasse 40,6023 Rothenburg,+41 (41) 552 05 80,info@wey-ag.ch
224.0,Deckungen geneigte Dächer,25185,Näpflin Gebäudehülle AG,Rüttistrasse 67,6467 Schattdorf,+41 (41) 874 74 84,info@nag.swiss
224.0,Deckungen geneigte Dächer,19597,Odermatt Bedachungen und Spenglerei AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,info@amstutz-odermatt.ch
224.0,Deckungen geneigte Dächer,19837,Paul Gisler AG,Alte Steinhauserstrasse 32,6330 Cham,+41 (41) 748 50 30,info@paulgislerag.ch
224.0,Deckungen geneigte Dächer,25156,Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch
224.0,Deckungen geneigte Dächer,25153,Soland Spenglerei GmbH,Bürglenstrasse 64,6078 Bürglen OW,+41 (41) 678 22 02,soland.spenglerei@bluewin.ch
224.0,Deckungen geneigte Dächer,25154,Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch
224.0,Deckungen geneigte Dächer,25155,B + W Bedachungen GmbH,Schwanderstrasse 28,6063 Sarnen,+41 (41) 660 94 05,ak@wb-dach.ch
224.1,Dichtungsbeläge Flachdächer,25151,Bedachungen Rohrer GmbH,Hänsigrüt 5,6072 Sachseln,+41 (41) 660 70 40,info@rohrer-dach.ch
224.1,Dichtungsbeläge Flachdächer,12324,Bucher Dach AG,Sandbachstrasse 13,6064 Kerns,+41 (41) 740 19 91,info@bucherdach.ch
224.1,Dichtungsbeläge Flachdächer,25152,Dach und Solar AG,Kernserstrasse 11,6056 Kägiswil,+41 (41) 660 16 70,info@dachundsolar.ch
224.1,Dichtungsbeläge Flachdächer,13692,Durrer AG Abdichtungsbau,Industriestrasse 25,6055 Alpnach Dorf,+41 0848 000 666,info@durrer-abdichtungen.ch
224.1,Dichtungsbeläge Flachdächer,17338,Josef Wey AG,Buzibachstrasse 40,6023 Rothenburg,+41 (41) 552 05 80,info@wey-ag.ch
224.1,Dichtungsbeläge Flachdächer,18747,Mathis Flachdach AG,Steinhausstrasse 4,6056 Kägiswil,+41 (41) 666 50 50,hallo@mathis-flachdach.ch
224.1,Dichtungsbeläge Flachdächer,25185,Näpflin Gebäudehülle AG,Rüttistrasse 67,6467 Schattdorf,+41 (41) 874 74 84,info@nag.swiss
224.1,Dichtungsbeläge Flachdächer,19597,Odermatt Bedachungen und Spenglerei AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,info@amstutz-odermatt.ch
224.1,Dichtungsbeläge Flachdächer,19837,Paul Gisler AG,Alte Steinhauserstrasse 32,6330 Cham,+41 (41) 748 50 30,info@paulgislerag.ch
224.1,Dichtungsbeläge Flachdächer,25156,Sepp Wagner GmbH,Industriestrasse 8,6064 Kerns,+41 (41) 660 72 44,info@seppwagnergmbh.ch
224.1,Dichtungsbeläge Flachdächer,25153,Soland Spenglerei GmbH,Bürglenstrasse 64,6078 Bürglen OW,+41 (41) 678 22 02,soland.spenglerei@bluewin.ch
224.1,Dichtungsbeläge Flachdächer,25154,Von Rotz Gebäudehülle Plus,Industriestrasse 11,6064 Kerns,+41 (41) 660 60 88,info@ghplus.ch
224.1,Dichtungsbeläge Flachdächer,25155,B + W Bedachungen GmbH,Schwanderstrasse 28,6063 Sarnen,+41 (41) 660 94 05,ak@wb-dach.ch
224.1,Dichtungsbeläge Flachdächer,23562,Wallimann AG,Büntenmatt 17,6060 Sarnen,+41 (41) 660 31 16,wallimann@bluewin.ch
225.1,Fugendichtungen,10316,AGI AG für Isolierugen,Langwiesenstrasse 6,8108 Dällikon,+41 (44) 316 63 63,zh@agi.swiss
225.1,Fugendichtungen,13343,DD-T Dicht & Dämm Technik GmbH,Industriestrasse 59,6034 Inwil,+41 (41) 360 02 00,info@dd-t.ch
225.1,Fugendichtungen,24956,Enz & Muff GmbH,Dörflistrasse 32b,6056 Kägiswil,+41 (41) 660 69 35,enzmuff@bluewin.ch
225.1,Fugendichtungen,14969,Fugenexpress Kluser GmbH,Industriestrasse 11,6074 Giswil,+41 (41) 660 88 60,info@kitter.ch
225.1,Fugendichtungen,18010,L.Fugenbau GmbH,Buzibachstrasse 12,6023 Rothenburg,+41 (41) 440 68 14,info@lfugenbau.ch
225.1,Fugendichtungen,23070,Ulmi AG,Schrotmättli 16,6014 Luzern,+41 (41) 250 12 21,info@ulmiluzern.ch
225.2,Spezielle Dämmungen,10362,Akon AG,Ausserfeld 1,6362 Stansstad,+41 (41) 632 33 99,sekretariat@akon-ag.ch
225.2,Spezielle Dämmungen,25212,Dominik von Flüe,Rüteli 8,6072 Sachseln,+41 (41) 660 99 85,pfuisi@bluewin.ch
225.2,Spezielle Dämmungen,25052,Durrer Sägerei und Trockenbau GmbH,Sagenmatt 2,6066 St. Niklausen OW,+41 (41) 660 54 33,dst@durrer-gmbh.ch
225.2,Spezielle Dämmungen,24901,Fassaden Outfit AG,Falkenweg 9,6340 Baar,+41 (41) 541 49 48,info@fassaden-outfit.ch
225.2,Spezielle Dämmungen,25214,Filliger & Partner AG,Gruobstrasse 52,6372 Ennetmoos,+41 (41) 611 00 15,info@filliger-partner.ch
225.2,Spezielle Dämmungen,16493,Holzbautechnik Burch AG,Brünigstrasse 88,6060 Sarnen,+41 (41) 666 76 86,burch@holzbautechnik.ch
225.2,Spezielle Dämmungen,25183,Mabeco AG,Industriestrasse 1,6055 Alpnach Dorf,,
225.2,Spezielle Dämmungen,19297,MVM AG,Kirchfeldstrasse 44,6032 Emmen,+41 (41) 289 04 04,mail@mvm-ag.ch
225.2,Spezielle Dämmungen,25187,Odermatt Fassadenbau AG,Brandbodenstrasse 9,6383 Dallenwil,+41 (41) 629 08 08,fassaden@gebrueder-odermatt.ch
225.2,Spezielle Dämmungen,20147,Poli Bau AG,Hasliweg 1,6052 Hergiswil,+41 (41) 632 40 20,info@polibau.ch
225.2,Spezielle Dämmungen,25213,Roman Colledani der Gestalter GmbH,Tellenstrasse 23,6056 Kägiswil,,
225.2,Spezielle Dämmungen,20959,Roth AG Malters,Werkstrasse 1,6102 Malters,+41 (41) 498 07 20,malters@roth.ch
225.2,Spezielle Dämmungen,21859,Slanzi Malen Gipsen AG,Mühlemattli 10,6074 Giswil,+41 (41) 675 10 60,info@slanzi.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,25057,Bollhalder Systemabdichtungen AG,Breitenweg 10,6370 Stans,+41 (41) 555 12 60,info@systemabdichtungen.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,14560,Ferotekt AG,Ronmatte 8,6033 Buchrain,+41 (41) 289 15 15,info@ferotekt.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,17083,Isotech Zentralschweiz AG,Eichli 25,6370 Stans,+41 (41) 340 54 55,info@isotech-zentralschweiz.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,25058,Kittech AG,Postfach 253,6074 Giswil,+41 (41) 676 70 60,info@kittech.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,22247,Stocker & Partner AG,Postplatz 5,6274 Eschenbach LU,+41 (41) 448 20 60,info@stopag.ch
225.3,Spezielle Feuchtigkeitsabdichtungen,23405,Vistona AG,Wyssmattstrasse 2,6010 Kriens,+41 (41) 311 00 62,e.birkigt@vistona.com
225.4,Brandschutzbekleidungen und dgl.,10318,AGI AG für Isolierungen,Acherfang 24,6274 Eschenbach LU,+41 (41) 449 90 30,lu@agi.swiss
225.4,Brandschutzbekleidungen und dgl.,13343,DD-T Dicht & Dämm Technik GmbH,Industriestrasse 59,6034 Inwil,+41 (41) 360 02 00,info@dd-t.ch
225.4,Brandschutzbekleidungen und dgl.,16034,Halter & Colledani AG,Kägiswilerstrasse 47,6060 Sarnen,+41 (41) 670 30 20,info@halter-colledani.ch
225.4,Brandschutzbekleidungen und dgl.,16917,Infrasafe AG,Grossmatte 11,6014 Luzern,+41 (41) 250 60 50,info@infrasafe.ch
225.4,Brandschutzbekleidungen und dgl.,17083,Isotech Zentralschweiz AG,Eichli 25,6370 Stans,+41 (41) 340 54 55,info@isotech-zentralschweiz.ch
225.4,Brandschutzbekleidungen und dgl.,24317,L. Fugenbau GmbH,Buzibachstrasse 12,6023 Rothenburg,+41 (41) 440 68 14,info@lfugenbau.ch
225.4,Brandschutzbekleidungen und dgl.,20959,Roth AG Malters,Werkstrasse 1,6102 Malters,+41 (41) 498 07 20,malters@roth.ch
227.1,Äussere Malerarbeiten,25219,Capraro Malerei-Decor AG,Pilatusstrasse 10,6060 Sarnen,+41 (41) 377 00 44,info@capraro.ch
227.1,Äussere Malerarbeiten,18537,Maler Durrer GmbH,Postplatz 4,6064 Kerns,+41 (41) 660 30 41,info@malerdurrer.ch
227.1,Äussere Malerarbeiten,25475,Maler Grimm AG,Werkhofstrasse 8,6052 Hergiswil NW,+41 (41) 630 21 51,info@maler-grimm.ch
227.1,Äussere Malerarbeiten,25288,Maler Hinter AG,Brünigstrasse 126a,6072 Sachseln,+41 (41) 660 28 33,kontakt@malerhinter.ch
227.1,Äussere Malerarbeiten,25186,MVM AG Stans,Hansmatt 30,6370 Stans,+41 (41) 610 00 42,mail@mvm-ag.ch
227.1,Äussere Malerarbeiten,25289,Schwarzenberger GmbH,Baumgartenstrasse 7,6055 Alpnach Dorf,+41 (41) 660 67 01,urs@schwarzenberger-gmbh.ch
227.1,Äussere Malerarbeiten,21859,Slanzi Malen Gipsen AG,Mühlemattli 10,6074 Giswil,+41 (41) 675 10 60,info@slanzi.ch
227.1,Äussere Malerarbeiten,25291,Theo Fischer & Partner AG,Kreuzstrasse 20,6056 Kägiswil,,
227.1,Äussere Malerarbeiten,25290,Walter Zünd AG,Kapuzinerweg 8,6060 Sarnen,+41 (41) 660 07 70,info@zuendmalerei.ch
228.3,Markisen,11915,Birrer-Storen AG,Hinter-Listrig 4,6020 Emmenbrücke,+41 (41) 282 04 04,info@birrer-storen.ch
228.3,Markisen,15782,Griesser AG,Grossmatte 12,6014 Luzern,+41 (58) 822 40 02,info@griesser.ch
228.3,Markisen,25476,Näf AG,Werkhofstrasse 10,6052 Hergiswil NW,+41 (41) 630 34 22,storen@naef.swiss
228.3,Markisen,21273,Schenker Storen AG,Allmendstrasse 6,6210 Sursee,+41 (41) 926 60 80,schenker.sursee@storen.ch
